Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Aahan Chemiex,https://aahanchem.com,Ahmedabad,Performance chemicals,"Specialty chemicals for textile, paper, dairy cleaning, dyes and home care",Rs.50-100Cr estimate,N/A,Founder,Founder has extensive specialty-chemicals experience; name not prominent on page,Strong,"Website says manufacturer, supplier and exporter of specialty chemicals",Strong,"Ahmedabad, Gujarat",Moderate,Application-specific formulations; limited patent evidence,Moderate,Founder experience visible but formal technical credential not public,Moderate,Textile/paper/home-care specialty chemicals stable; not strongest tailwind,Strong,Website content updated 2026; active marketing presence,70,B — Probable Federer,Fit,Founder-experience-led manufacturer; needs revenue and plant validation,"Ahmedabad specialty chemical manufacturer with founder experience across textile, paper, dyes and cleaning segments",https://aahanchem.com/about-us/
Aditya Chemicals,https://www.adityachemicals.com,Ahmedabad,Performance chemicals,Specialty chemicals and industrial chemical products,Rs.50-100Cr estimate,N/A,Management,Tracxn profile says specialty chemical manufacturer founded in 2010,Moderate,Profile identifies company as specialty chemical manufacturer; plant proof requires website validation,Strong,"Ahmedabad, India",Moderate,"Specialty products, but technical moat evidence limited",Moderate,Founder/technical DM not found in public sources,Moderate,Specialty chemicals demand tailwind,Moderate,Founded 2010 and active profile; recent growth signals limited,60,B — Probable Federer,Fit / verify,"Prospect-level lead, not final high-confidence target without plant/revenue proof",Ahmedabad specialty chemical manufacturer founded in 2010,https://tracxn.com/d/companies/aditya-chemicals/__2jM20pBgpNEGoHZ2td8vsPaxpbJ_er1RjCBNvFqSQmo
Uday Auxichem,https://www.udayauxichem.com,Ahmedabad,Performance chemicals,"Textile auxiliaries, finishing agents and specialty chemical formulations",Rs.50-100Cr estimate,Maunang Amin,Founder & CEO,Founder/CEO public LinkedIn; technical background not fully public,Strong,Auxiliary chemicals are manufactured/formulated for textile/process applications,Strong,"Ahmedabad, Gujarat",Moderate,"Application-specific textile chemicals, but no patent evidence found",Moderate,Founder-led; technical education not visible,Moderate,"Textile processing chemicals are stable, export-linked but not strongest tailwind",Moderate,Long-running since 1990; recent activity limited in public sources,65,B — Probable Federer,Fit / verify,"Founder-led and niche, but needs fresh growth signals",Founder-led Ahmedabad textile auxiliaries company running since 1990,https://in.linkedin.com/in/maunang-amin-5239b122b
Primarius Custom Synthesis,https://www.primarius.in,Ahmedabad,Custom synthesis & specialty chemicals,Custom synthesis and contract manufacturing of specialty chemicals/intermediates,Rs.50-100Cr estimate,Umesh Desai,Promoter/Entrepreneur,Chemicals specialist per LinkedIn; business background visible,Strong,Custom synthesis company indicates manufacturing/process chemistry capability,Strong,"Ahmedabad, Gujarat",Strong,"Custom synthesis is differentiated by process know-how, route development and customer-specific molecules",Moderate,Promoter has chemical-specialist experience; formal scientific credentials not fully public,Strong,Custom synthesis benefits from China+1 and outsourcing tailwinds,Moderate,Active company profile; recent expansion not verified,80,A — Strong Federer,Strong fit / verify,Good ICP fit in custom synthesis; confirm current revenue and facility,Ahmedabad custom synthesis promoter described as chemicals specialist,https://in.linkedin.com/in/umesh-desai-87473710
Suntrox Finechem,https://www.suntroxfinechem.com,Ahmedabad,Custom synthesis & specialty chemicals,Multipurpose specialty chemical manufacturing and custom chemical synthesis,Rs.50-100Cr estimate,Shrut Shah,Founder & CEO,Founder profile says multipurpose specialty chemical company; background requires more validation,Strong,Founder profile describes multipurpose specialty chemical company and scalable custom synthesis,Strong,"Ahmedabad, Gujarat",Strong,Custom synthesis/scalable specialty manufacturing suggests differentiated process capability,Moderate,Founder-led; exact technical credentials not fully public,Strong,China+1 tailwind for custom synthesis/specialty chemicals,Moderate,Active founder/company digital signals; limited independent expansion proof,80,A — Strong Federer,Strong fit / verify,Promising younger custom synthesis prospect; final validation needed,Founder-led Ahmedabad multipurpose specialty chemical company focused on scalable custom synthesis,https://in.linkedin.com/in/shrut-shah-410021130
Ami Organics,https://www.amiorganics.com,Surat / Gujarat,Custom synthesis & specialty chemicals,Pharma intermediates and specialty chemicals for regulated end-markets,Rs.300-500Cr / verify current,Naresh Patel,Executive Chairman & MD,"Founder-promoter, chemistry-led business; public company management",Strong,Multiple manufacturing facilities; makes advanced pharma intermediates/specialty chemicals,Strong,Gujarat HQ/manufacturing presence; outside chosen city but same cluster,Strong,"Advanced intermediates, regulated customers and R&D chemistry depth",Strong,Promoter-led with technical operating history,Strong,"Pharma intermediate outsourcing, China+1, export markets",Strong,"Listed company disclosures, capex and active investor communications",100,A — Strong Federer,Strong fit if city accepted,Excellent ICP but outside strict Vadodara/Ahmedabad; keep only if using Gujarat cluster justification,Gujarat advanced-intermediate maker built from a 2004 partnership into listed specialty-chemicals company,https://www.amiorganics.com; https://www.zaubacorp.com/AMI-ORGANICS-LIMITED-L24100GJ2007PLC051093
Aether Industries,https://aether.co.in,Surat / Gujarat,Custom synthesis & specialty chemicals,Advanced intermediates and specialty chemicals using complex/differentiated chemistry,Rs.300-500Cr / verify current,Ashwin Desai / Aman Desai,Founder/Promoter leadership,Scientist/chemist-led public specialty chemical company,Strong,Manufactures advanced intermediates and specialty chemicals,Strong,"Based in Surat, Gujarat",Strong,"Complex chemistry, technology core competencies, custom synthesis/CRAMS",Strong,Promoter leadership with chemistry/scientific orientation,Strong,"China+1, pharma/agro/material-science specialty chemicals",Strong,Active investor disclosures and manufacturing expansions,100,A — Strong Federer,Strong fit if revenue below threshold,High-quality specialty chemistry ICP; confirm FY25 revenue and city scope,Surat specialty chemical company focused on complex and differentiated chemistry/technology core competencies,https://aether.co.in/about-us/
Anupam Rasayan,https://www.anupamrasayan.com,Surat / Gujarat,Custom synthesis & specialty chemicals,Custom synthesis and manufacturing of life-science and specialty chemicals,Above Rs.500Cr likely / check,Anand Desai,Founder / MD,Promoter-led specialty chemicals entrepreneur,Strong,Custom synthesis manufacturer with multiple plants,Strong,Gujarat manufacturing base,Strong,Complex custom synthesis for global customers,Strong,Founder-promoter with deep sector experience,Strong,China+1/global outsourcing tailwinds,Strong,Listed company with expansions/customer contracts,0,D — Auto-disqualify likely,Fail / watchlist,Good ICP qualitatively but likely too large/current revenue may exceed threshold,Useful comparison case: technically strong but likely outgrown DeepThought revenue band,https://www.anupamrasayan.com; https://beststartup.in/91-gujarat-based-chemical-companies-the-most-innovative-chemical-companies/
Meghmani Finechem,https://www.meghmanifinechem.com,Ahmedabad / Gujarat,Performance chemicals,"Chlor-alkali, chloromethanes, hydrogen peroxide and specialty chemical derivatives",Above Rs.500Cr,Maulik Patel,Chairman & MD,"Promoter-led, technical/industrial chemicals leadership",Strong,Own large-scale chemical manufacturing facilities,Strong,Gujarat operations,Moderate,"Some specialty derivatives, but base chlor-alkali is more commodity",Moderate,Promoter industrial experience; scientific pedigree not central,Moderate,Chemicals demand stable; specialty expansion tailwinds,Strong,Public company with active capex/filings,0,D — Auto-disqualify,Fail — revenue/commodity risk,Exclude from final target list due to revenue size and commodity exposure,Shows why specialty-screening must avoid large chlor-alkali commodity players,https://www.meghmanifinechem.com
Khyati Chemicals,https://www.khyatichemicals.com,Ahmedabad,Performance chemicals,Optical brightening agents and performance chemicals,Acquired / not independent,Rajiv Bhandari,Founder,"Founder-led historically, but acquired by Dorf Ketal",Strong,Manufactures optical brightening agents/performance chemicals,Strong,Ahmedabad-based business,Strong,Optical brighteners are performance specialty chemicals,Moderate,Founder visible historically,Strong,Performance chemicals/export tailwinds,Strong,Was attractive enough for strategic acquisition,0,D — Auto-disqualify,Fail — acquired,Do not include as target because acquired by Dorf Ketal; useful fail example,"Ahmedabad OBA manufacturer acquired by Dorf Ketal, so promoter dynamic changed",https://www.indianchemicalnews.com/chemical/dorf-ketal-acquires-oba-manufacturer-khyati-chemicals-13073
Transpek Industry,https://transpek.com,Vadodara,Custom synthesis & specialty chemicals,"Acid chlorides, thionyl chloride derivatives and specialty chemicals",Above Rs.500Cr current,N/A,Management,Long-running public specialty chemical company,Strong,Manufactures specialty chemicals in Vadodara region,Strong,Vadodara/Gujarat base,Strong,Complex acid chloride chemistry and export products,Moderate,Technical leadership exists but promoter decision-maker not clear,Strong,Specialty chemicals export/China+1 tailwinds,Strong,Investor presentation shows growth and new complex products,0,D — Auto-disqualify,Fail — revenue too high,"Excellent chemical capability but current revenue appears above Rs.500Cr, so exclude",Investor presentation showed nine-month revenue already Rs.505.6Cr in FY25 period,https://transpek.com/wp-content/uploads/2025/02/Investor-Presentation-February-2025.pdf
Silox India,https://www.silox-india.com,Vadodara,Performance chemicals,Zinc oxide and specialty inorganic chemicals,Above Rs.500Cr,N/A,Management,Established manufacturing leadership,Strong,Manufacturing company with global export presence,Strong,"Vadodara, India",Moderate,Some specialty grades but product base includes commodity inorganic chemicals,Moderate,"Technical team likely, but named technical DM not found",Moderate,Inorganic specialty chemicals stable,Strong,Exports to 65+ countries; revenue about INR 1000Cr reported,0,D — Auto-disqualify,Fail — revenue too high,Exclude: strong manufacturer but too large for Rs.50-500Cr ICP,Annual revenue about INR 1000Cr and exports to 65+ countries,https://www.silox-india.com/en/company-profile
Neogen Chemicals,https://neogenchem.com,Vadodara / Gujarat,Custom synthesis & specialty chemicals,Bromine-based and lithium-based specialty chemicals,Above Rs.500Cr / high capex,Haridas Kanani family / management,Promoter management,Promoter-led public specialty chemical company,Strong,Manufactures organic/inorganic specialty chemicals,Strong,Gujarat operations including Vadodara/Dahej,Strong,"Bromine/lithium chemistry, electronic chemicals and battery material capability",Strong,Promoter/technical management; public listed leadership,Strong,"Battery chemicals, semiconductors and specialty chemicals tailwinds",Strong,Large FY24-FY26 capex pipeline and capacity expansion,0,D — Auto-disqualify likely,Fail / watchlist,Strategically excellent but likely outside revenue band due current/near-term scale,Major bromine/lithium specialty chemicals capacity expansion with large capex pipeline,https://neogenchem.com/wp-content/uploads/EP-q3.pdf
Deepak Novochem Technologies,https://www.godeepak.com,Vadodara,Custom synthesis & specialty chemicals,Phenol/acetone downstream and specialty chemical technologies under Deepak Group,Large group subsidiary,Deepak Mehta / Ajay Mehta,Director / MD,Deepak Group professional/promoter leadership,Strong,Chemical manufacturing/technology company,Strong,Vadodara/Gujarat operations,Strong,Specialty chemical technology and downstream chemistry,Moderate,Technical leadership present but group company structure dominates,Strong,Indian specialty chemicals and import substitution tailwinds,Strong,Deepak Group capex/investment plans visible,0,D — Auto-disqualify,Fail — large group subsidiary,Exclude because subsidiary/group company dynamics do not fit independent MSME Federer profile,"Deepak Group plans ₹12,000Cr investment; too large/group-led for MSME ICP",https://www.zaubacorp.com/DEEPAK-NOVOCHEM-TECHNOLOGIES-LIMITED-U24100GJ2007PLC101165; https://www.godeepak.com/deepak-chem-tech-overview/
Jubilant Agri & Consumer Products - Savli unit,https://www.jubilantindustries.com,"Savli, near Vadodara",Performance chemicals,"Industrial polymers, latexes and adhesives",Large group subsidiary,Mohan Deep Singh,CEO & Whole-time Director,Professional CEO; part of Jubilant Bhartia Group,Strong,Manufactures latex/industrial polymer products,Strong,Savli near Vadodara manufacturing plant,Moderate,Performance polymers/adhesives are specialty but group line includes broader products,Moderate,"Professional management, not independent technical promoter",Strong,Performance polymers and adhesives demand in western India,Strong,Announced Rs.50Cr new Savli industrial polymer facility in Nov 2025,0,D — Auto-disqualify,Fail — group subsidiary,"Exclude because it is part of large Jubilant Bhartia Group, not independent MSME promoter-driven","Rs.50Cr Savli expansion is a good growth signal, but ownership structure disqualifies it",https://timesofindia.indiatimes.com/city/ahmedabad/jubilant-to-set-up-rs-50-crore-industrial-polymer-unit-at-savli/articleshow/125115221.cms
PolyProtic,https://www.linkedin.com/company/polyprotic,Ahmedabad / Gujarat,Custom synthesis & specialty chemicals,Specialty chemicals startup; collaborative R&D and manufacturing positioning,Unknown / early,Yuvrajsinh Parmar,Founder,Founder building PolyProtic; technical background not fully public,Moderate,Specialty chemical positioning but plant/manufacturing proof insufficient,Strong,Gujarat-based profile,Moderate,R&D/collaboration positioning suggests technical niche,Moderate,Founder-led; credentials require validation,Strong,Specialty chemicals startup benefits from innovation and supply-chain tailwinds,Moderate,Active LinkedIn presence and investor/support language,55,C — Borderline,Research further,Promising but too little evidence for final target list without plant/revenue proof,Specialty-chemicals startup inviting collaborations with industry and research institutions,https://in.linkedin.com/company/polyprotic
